freq,mot,pos
647,salut,subst
646,tâche,subst
644,désigner,verbe
643,fin,adj
642,abri,subst
641,détacher,verbe
638,recueillir,verbe
636,rencontre,subst
634,croiser,verbe
633,entretenir,verbe
633,rouge,subst
627,professeur,subst
627,surveiller,verbe
627,visible,adj
625,perdu,adj
622,réserver,verbe
620,bas,adv
618,lien,subst
615,queue,subst
608,bande,subst
608,confondre,verbe
605,grain,subst
603,mensonge,subst
602,dégager,verbe
592,probablement,adv
591,illusion,subst
589,incapable,adj
589,parer,verbe
586,épreuve,subst
581,immédiatement,adv
578,attente,subst
572,visiter,verbe
571,instrument,subst
569,évidemment,adv
556,auparavant,adv
554,détourner,verbe
553,explication,subs
551,régulier,adj
549,reproche,subst
547,souci,subst
546,plier,verbe
544,extrême,adj
540,accueillir,verbe
538,juif,subst
538,leçon,subst
538,redevenir,verbe
537,approuver,verbe
536,parfait,adj
535,emparer,verbe
532,aborder,verbe
529,heurter,verbe
523,tel,pron
519,noyer,verbe
515,semer,verbe
514,ferme,adj
494,manche,subst
492,rage,subst
491,gré,subst
450,guider,verbe
449,piquer,verbe
412,meilleur,subst
